country,yearQ,year,quarter,total_debt,debt_to_GDP,fx,nonbank_domestic_debt,bank_domestic_debt,official_domestic_debt,domestic_debt,nonbank_foreign_debt,bank_foreign_debt,official_foreign_debt,foreign_debt,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,GDP_per_cap_cur_USD,ln_GDP_per_cap_cur,yearnum,post_08,post_09,post_15,post_16,post_17,ticker.x,fx_volatility.x,ticker.y,fx_volatility.y
Argentina,2014Q4,2014,4,1723.8197499999999,42.01984119679042,0.12157788112063306,194.0185,316.895,1135.2952500000001,1135.2952500000001,363.44475,4.71125,220.368,588.5245,213,-2513,853398,-3579,NA,23.915,7.25,-4.252,-1.628,EM,NA,13.656981306166381,NA,13.8493099484698,14.131210937500002,18.281921875000005,Units,26.8599,12334.79824538929,9.42017967255805,2014,YES,YES,NO,NO,NO,1,0.45682189668146495,ARS,0.45682189668146495
Argentina,2015Q4,2015,4,2838.3615,53.06579468475232,0.10191177476865623,733.321,448.78625,2115.1345,2115.1345,426.019,8.0465,289.162,723.227,213,2731,885833,1630,NA,NA,6.533,-6.001,-2.743,EM,7.912423121473705,13.69428372423655,7.396335293800808,15.157971390293,16.721011673151743,23.99266614785993,Units,33.0009,13789.060424772022,9.531630833931786,2015,YES,YES,YES,NO,NO,1,0.7862954752896324,ARS,0.7862954752896324
Argentina,2016Q4,2016,4,4018.51575,54.673316342480895,0.06585309405919687,668.0297499999999,569.70975,2559.97525,2559.97525,1006.7057500000001,21.56925,430.2655,1458.5407500000001,213,-2080,876387,-3110,NA,NA,8.467,-6.655,-2.713,EM,NA,13.68356305318403,NA,12.3798741053662,15.863488372093013,23.590334883720946,Units,24.7503,12790.242473244707,9.456437852426394,2016,YES,YES,YES,YES,NO,1,0.6687554144878051,ARS,0.6687554144878051
Argentina,2017Q4,2017,4,5550.884,57.428399119345166,0.05918573446469853,915.05375,750.69975,3306.148,3306.148,1659.4515,58.352000000000004,526.9325,2244.736,213,2669,916719,1609,25.675,24.796,8.35,-6.703,-4.843,EM,7.889459149404524,13.728556270254112,7.3833681469923835,12.9299128513563,11.090891472868222,14.76677790697675,Units,28.75,14591.863381054129,9.58821934967805,2017,YES,YES,YES,YES,YES,1,0.894200830725272,ARS,0.894200830725272
Argentina,2018Q4,2018,4,10276.95675,78.8750322968998,0.0335407481992433,1633.2459999999999,1165.04975,5063.49475,5063.49475,3398.5355,213.88825,1601.0384999999999,5213.4619999999995,213,-2482,915749,-3467,34.277,47.646,9.2,-5.493,-5.247,EM,NA,13.727497588639373,NA,10.4399989344901,16.569101562499988,16.331809375,Units,59.252,11683.949621636286,9.365971351758887,2018,YES,YES,YES,YES,YES,1,7.451205405433324,ARS,7.451205405433324
Argentina,2019Q4,2019,4,16292.72525,87.6624047187976,0.020212024549319352,3129.9629999999997,1846.3725,7539.855750000001,7539.855750000001,5036.21375,148.959,3567.69675,8752.8695,213,-2163,911562,-3132,53.548,53.832,9.825,-3.869,-7.71e-4,EM,NA,13.722914890535286,NA,NA,15.383007812499997,15.049324218750007,Units,55,10006.14897360816,9.210955080365078,2019,YES,YES,YES,YES,YES,1,8.412871020515034,ARS,8.412871020515034
Brazil,2004Q4,2004,4,1300.11,69.90797902966088,0.3481384079235048,430.35775,332.85425,1070.5439999999999,1070.5439999999999,156.21224999999998,14.70325,58.650999999999996,229.566,223,5757,1924.531,4510,6.598,7.601,12.9,-2.88,1.698,EM,8.65817178467581,7.5624375806740876,8.414052432496725,26.4556653594464,15.456793893129769,18.886297709923657,Units,17.75,3637.462389257333,8.199041571703223,2004,NO,NO,NO,NO,NO,4,0.08353447819936438,BRL,0.08353447819936438
Brazil,2005Q4,2005,4,1415.35675,67.70956287254296,0.4195794551089283,542.78775,366.18525,1219.44225,1219.44225,138.814,13.0335,44.06725,195.9145,223,3192,2047.816,2006,6.87,5.69,11.4,-3.542,1.521,EM,8.068402958569699,7.624529138373207,7.603897968521881,28.3634370955445,12.779846153846155,14.031134999999999,Units,18,4790.43708777366,8.474376936299059,2005,NO,NO,NO,NO,NO,4,0,BRL,0
Brazil,2006Q4,2006,4,1505.98025,65.19641079673852,0.46267861994633686,614.2555,412.52375,1330.022,1330.022,124.456,13.5535,37.948499999999996,175.95825,223,3955,2193.24,2804,4.184,3.142,11.5,-3.574,1.178,EM,8.282735880201754,7.693135181554351,7.938802248154481,24.8520432886448,12.78038461538462,16.52674884615384,Units,13.25,5886.463588377282,8.680410686884118,2006,NO,NO,NO,NO,NO,4,0.33564578623903174,BRL,0.33564578623903174
Brazil,2007Q4,2007,4,1657.0605,63.56428133914289,0.5290312293140773,689.84875,465.41275,1487.499,1487.499,117.087,18.285,34.1895,169.56150000000002,223,6064,2388.726,4955,3.641,4.457,10.9,-2.739,2.9e-5,EM,8.710124927322207,7.778515448408249,8.508152446764088,26.0294977676979,17.45256704980844,19.614428735632167,Units,11.25,7348.030793555481,8.902187637065957,2007,NO,NO,NO,NO,NO,4,0.12456336112543648,BRL,0.12456336112543648
Brazil,2008Q4,2008,4,1795.28975,60.7218194584856,0.5377820817711229,681.8824999999999,486.67925,1593.498,1593.498,144.18125,22.3465,35.264250000000004,201.79175,223,5095,2559.265,4010,5.678,5.902,9.4,-1.534,-1.808,EM,8.536014945656826,7.847475386874821,8.296546520300614,26.6374823597166,32.58267175572519,33.70876145038169,Units,13.75,8831.023116975657,9.086026155172958,2008,YES,NO,NO,NO,NO,4,0.2615345789292409,BRL,0.2615345789292409
Brazil,2009Q4,2009,4,2010.19375,62.28175151794378,0.5232692184135805,697.90725,536.5035,1789.82875,1789.82875,155.683,28.2925,36.3895,220.365,223,-0.119,2575.7,-1139,4.888,4.312,9.7,-3.19,-1.575,EM,NA,7.853876620814966,NA,28.0040385387696,31.598494208494223,33.634777606177614,Units,8.75,8597.915351516234,9.059275051871246,2009,YES,YES,NO,NO,NO,4,0.22532414077600657,BRL,0.22532414077600657
