ano,dxy
2020,167.16666666666666
2019,182.66666666666666
2018,154.25
2017,135.58333333333334
2016,143.83333333333334
2015,158.41666666666666
2014,79.58333333333333
2013,69.66666666666667
2012,55.75
2011,24.083333333333332
2010,66.33333333333333
2009,57
2008,35.416666666666664
2007,60.083333333333336
2006,107.33333333333333
2005,116.16666666666667
2004,111.58333333333333
