country,yearQ,year,quarter,total_debt_,debt_to_GDP_,fx_,nonbank_domestic_debt_,bank_domestic_debt_,official_domestic_debt_,domestic_debt_,nonbank_foreign_debt_,bank_foreign_debt_,official_foreign_debt_,foreign_debt_,woe_country_code,GDP_cte,GDP_cur,GDP_per_cap_cte,inflation_mean,inflation_end,unemployment,lending_borroeing_rate,account_balance,develop,ln_GDP_cte,ln_GDP_cur,ln_GDP_per_cap_cte,lending_GDP,account_GPD,taxes,vix_EUA,vix_EUR,Scale,nominal_rate,continent,GDP_per_cap_cur_USD,control_corruption_rank,effectiveness_rank,political_stability_rank,regulatory_quality_rank,rule_of_law_rank,voice_rank
Bulgaria,2017Q4,2017,4,26.66225,26.859757403742357,0.5867419917151432,3.612,10.93875,14.551,14.551,5.9335,0.7312500000000001,5.44675,12.1115,918,3507,153904,4267,1188,1796,6230,0.826,3489,EM,8.162516250140179,11.944084310392396,8.358666283188,5.366982014762449e-6,0.02266997608899054,16.86693626951,11.090891472868222,14.76677790697675,Units,NA,Europe,8331.058024602597,50.96154,63.46154,59.52381,72.59615,51.92308,58.62069
Bulgaria,2018Q4,2018,4,24.6815,23.15322610728309,0.600820667264384,3.35325,10.3275,13.6805,13.6805,5.0555,0.687,5.258,11.000499999999999,918,3084,162516,3820,2631,2310,5200,0.123,1380,EM,8.03398273468322,11.998531737443372,8.24800570160062,7.568485564498264e-7,0.008491471608949273,16.2262563144143,16.569101562499988,16.331809375,Units,NA,Europe,9423.558611566596,50.96154,62.98077,60.47619,72.59615,53.36538,59.1133
Bulgaria,2019Q4,2019,4,23.80075,20.590476905981298,0.5718492631018495,3.0115,10.166,13.1775,13.1775,4.495,0.98125,5.147,10.623,918,3372,170925,3891,2457,3100,4200,-0.968,4042,EM,8.123261319121745,12.048980142781994,8.266421472984554,-5.663302618107357e-6,0.023647798742138366,NA,15.383007812499997,15.049324218750007,Units,NA,Europe,9737.601350833474,NA,NA,NA,NA,NA,NA
Chile,2004Q4,2004,4,10614.40725,18.695185463682844,0.0016523192306985663,3435.00425,361.725,7715.12925,7715.12925,1770.36925,393.50925,735.399,2899.278,228,7194,224202,6089,1053,2444,10017,2048,3040,EM,8.881002624255569,12.32030271018701,8.714239143608575,0.0091346196733303,0.013559201077599664,26.7504864681207,15.456793893129769,18.886297709923657,Units,2.25,South America,6194.853106984184,89.7561,84.72906,70.87379,88.66995,88.51675,88.94231
Chile,2005Q4,2005,4,9377.7545,14.341926510190778,0.0018127518186361754,3833.97275,386.2,6894.82275,6894.82275,1363.72325,429.60325,689.605,2482.9317499999997,228,5762,244507,4708,3053,3671,9300,4543,1711,EM,8.659039915644474,12.406999217344088,8.457018468380168,0.01858024514635573,0.006997754665510599,32.8380008890582,12.779846153846155,14.031134999999999,Units,4.5,South America,7598.525121088888,91.21951,85.29412,74.27184,89.21568,88.99522,89.42308
Chile,2006Q4,2006,4,7989.287249999999,10.381967750164227,0.0018628157323227201,3873.4545,343.15,5739.6295,5739.6295,1277.78825,378.23675000000003,593.6324999999999,2249.65775,228,6322,267834,5253,3402,2607,7950,7459,4592,EM,8.751790892775563,12.49812266459864,8.566554620953962,0.02784933951626754,0.017144947990173017,40.8653606500174,12.78038461538462,16.52674884615384,Units,5.25,South America,9464.55024290607,91.21951,82.43903,64.7343,92.15686,89.47369,86.05769
Chile,2007Q4,2007,4,7531.725,8.598415487298041,0.0019302369717321848,3741.736,590.3,5515.036,5515.036,1050.20325,379.89700000000005,586.5889999999999,2016.689,228,4912,288539,3832,4413,7861,7008,7909,4320,EM,8.499436469826978,12.572585537769768,8.251142139090751,0.02741050603211351,0.014971979524431706,39.9940523171628,17.45256704980844,19.614428735632167,Units,6,South America,10502.354520273666,90.7767,87.37864,58.9372,92.23301,88.03828,85.09615
Chile,2008Q4,2008,4,7120.9535,7.602421709717204,0.001899899227733929,3343.7735000000002,1370.45,5579.1985,5579.1985,767.758,226.81,547.18725,1541.755,228,3545,304577,2430,8723,7088,7750,3934,-3880,EM,8.173293438966228,12.626679207728177,7.795646536334594,0.01291627404564363,-0.012738978977401446,29.1220443993716,32.58267175572519,33.70876145038169,Units,8.25,South America,10751.47967421702,90.7767,84.46602,58.65385,92.71844,88.46154,80.28846
Chile,2009Q4,2009,4,8029.058999999999,8.543754630602457,0.0018534751390338292,4021.30575,1652.4,6600.15575,6600.15575,601.48575,242.14425,585.27325,1428.9032499999998,228,-1583,302042,-2652,1498,-1507,11053,-4241,1920,EM,NA,12.618321359534956,NA,-0.014041093622741209,0.006356731845240066,28.0864075950764,31.598494208494223,33.634777606177614,Units,0.5,South America,10208.906762286078,89.47369,85.16747,66.82465,92.3445,88.15166,79.14692
Chile,2010Q4,2010,4,10618.551,10.065158250590404,0.0019843377613346512,5781.492749999999,2186.325,8942.267749999999,8942.267749999999,849.4405,275.88025,550.9625,1676.28325,228,5836,323393,4702,1408,2941,8305,-0.361,1444,EM,8.671800909642677,12.686623580869242,8.455743229100015,-1.1162888497895748e-6,0.0044651553991582995,27.2231152172512,22.49457831325302,26.361271485943774,Units,3.25,South America,12808.034586422002,90.47619,86.60287,68.24644,91.38756,88.15166,82.93839
Chile,2011Q4,2011,4,14414.993999999999,12.072552986443307,0.0020139533522147,8651.07425,2314.8,12008.29925,12008.29925,1531.4475,352.37825,522.8689999999999,2406.69475,228,6124,350368,4954,3335,4388,7300,1422,-2742,EM,8.719970756777574,12.766739309673152,8.507950610049305,0.0040585898255548454,-0.007826057174171158,27.1741111372227,24.20257936507937,30.077896825396813,Units,5.25,South America,14637.240235540303,90.04739,85.30806,62.08531,91.46919,88.73239,82.6291
Chile,2012Q4,2012,4,16998.201500000003,13.399448390132491,0.002054638921259064,10394.823,2967.725,14478.498,14478.498,1751.54875,300.98775,467.1675,2519.7035,228,5317,376074,4174,2999,1457,6595,0.681,-4427,EM,8.57866451350434,12.837541211518415,8.336630087637147,1.8108138291931908e-6,-0.011771619415327835,30.360631476845,17.815490196078425,24.584285490196052,Units,5,South America,15351.551325769664,90.99526,86.25592,57.8199,92.41706,88.73239,83.09859
Chile,2013Q4,2013,4,18875.745750000002,14.02742669373916,0.0019995907053582973,11010.5615,3076.05,15263.5615,15263.5615,2690.94175,382.46025,538.782,3612.18425,228,4048,398163,3053,1789,3058,6082,-0.47,-4779,EM,8.305978210967302,12.894616748163484,8.023879992734878,-1.1804210838274776e-6,-0.01200262204172663,28.6788278134212,14.22903100775193,18.533330620155034,Units,4.5,South America,15842.940805212489,90.52132,86.72986,59.71564,91.94313,87.79343,84.50704
